Brand_Mod,model,model_year,KM,fuel,HP,Litros,Cilindros,transmission_mod,ext_col_mod,int_col_mod,accident_mod,clean_title_mod,price_eur,Preco Previsto,Data_Pedido,Data_Resposta,rating
Mercedes-Benz,C-Class C 300 4MATIC,2016,145145,Gasoline,241.0,2.0,4.0,Automatic,white,Outra,At least 1 accident or damage reported,Yes,16375,16294,2022-11-24,2022-11-28,7.5
Outra,S5 3.0 Premium Plus,2012,98894,Gasoline,333.0,3.0,6.0,Automatic,white,Outra,None reported,Yes,17745,19793,2023-02-10,2023-02-14,5.3
Outra,Yukon XL SLT,2016,295385,Gasoline,355.0,5.3,8.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,20020,20478,2023-10-18,2023-10-22,2.2
Outra,Rover Defender SE,2023,13552,Hybrid,395.0,3.0,6.0,Automatic,Black,Outra,None reported,Yes,81900,75127,2023-01-01,2023-01-02,2.5
Outra,Rover Range Rover Evoque SE,2016,138729,Gasoline,240.0,2.0,4.0,Automatic,Black,Black,None reported,Yes,17062,17527,2022-10-31,2022-11-03,1.8
Outra,XJ8 L,2006,125608,Gasoline,300.0,4.2,8.0,Automatic,white,beige,None reported,Yes,12722,12806,2023-05-30,2023-05-31,9.2
Outra,ES 300h Base,2018,162331,Hybrid,200.0,2.5,4.0,CVT,white,beige,At least 1 accident or damage reported,Yes,21294,18988,2022-08-28,2022-08-30,2.0
Outra,911 Carrera 4S Cabriolet,2009,41038,Gasoline,385.0,3.8,6.0,Manual,Black,Black,None reported,Yes,72795,69291,2022-10-15,2022-10-19,1.2
Outra,Genesis Coupe 3.8 R-Spec,2014,83782,Gasoline,348.0,3.8,6.0,Manual,Black,Black,At least 1 accident or damage reported,Yes,13650,17880,2022-02-19,2022-02-21,9.6
Outra,Macan S,2018,65903,Gasoline,340.0,3.0,6.0,Automatic,Black,Black,None reported,Yes,36172,38283,2023-07-09,2023-07-11,6.0
Outra,A6 3.0 TDI Premium Plus,2014,68236,Diesel,240.0,3.0,6.0,Automatic,Outra,Black,None reported,Yes,24115,29055,2022-02-15,2022-02-19,2.3
Chevrolet,Camaro Base,2002,143232,Gasoline,200.0,3.8,6.0,Automatic,Outra,Black,None reported,Yes,9464,8945,2023-01-07,2023-01-11,7.5
Outra,Avalon Hybrid XLE Premium,2015,259104,Hybrid,200.0,2.5,4.0,CVT,Outra,Outra,None reported,Yes,10465,10707,2022-11-07,2022-11-11,1.7
Outra,3500 Tradesman,2023,4812,Diesel,400.0,6.7,6.0,Automatic,white,Black,At least 1 accident or damage reported,Yes,63609,58447,2023-11-12,2023-11-16,5.5
Ford,Flex Limited,2009,260714,Gasoline,262.0,3.5,6.0,Automatic,Outra,Black,At least 1 accident or damage reported,Yes,6825,7030,2023-11-12,2023-11-13,1.6
BMW,X1 xDrive 28i,2017,79984,Gasoline,228.0,2.0,4.0,Automatic,Outra,Black,None reported,Yes,23660,23807,2022-04-15,2022-04-18,2.9
Outra,G90 5.0 Ultimate,2017,102193,Gasoline,420.0,5.0,8.0,DCT,Outra,Black,None reported,Yes,25025,30948,2023-03-17,2023-03-18,2.6
Outra,Rover Range Rover Sport HSE,2011,168981,Gasoline,375.0,5.0,8.0,Automatic,Black,Black,None reported,Yes,9100,10538,2023-06-22,2023-06-24,7.9
Outra,Rover Range Rover Sport Supercharged,2011,64374,Gasoline,510.0,5.0,8.0,DCT,Outra,Outra,At least 1 accident or damage reported,Yes,18200,25549,2022-10-19,2022-10-22,8.1
Outra,Grand Cherokee Laredo,2011,189903,Gasoline,360.0,5.7,8.0,Automatic,Outra,Black,At least 1 accident or damage reported,Yes,11375,12050,2022-09-26,2022-09-29,3.4
Ford,Explorer ST,2022,16898,Gasoline,400.0,3.0,6.0,DCT,Black,Black,None reported,No,45500,49587,2022-12-30,2023-01-02,5.7
Outra,2500 Big Horn,2019,156106,Diesel,370.0,6.7,6.0,Automatic,white,Outra,At least 1 accident or damage reported,Yes,40950,41292,2022-09-22,2022-09-25,8.7
Outra,Equus Signature,2016,115873,Gasoline,429.0,5.0,8.0,Automatic,white,beige,None reported,Yes,19474,24332,2023-10-24,2023-10-25,6.8
Outra,Cayman R,2012,86905,Gasoline,330.0,3.4,6.0,Automatic,Black,Outra,None reported,Yes,68250,55472,2023-02-28,2023-03-03,5.7
Outra,MKZ Base,2015,188763,Gasoline,240.0,2.0,4.0,Automatic,Outra,beige,None reported,Yes,10920,11742,2023-09-20,2023-09-21,8.5
Mercedes-Benz,S-Class S 560 4MATIC,2018,101646,Gasoline,463.0,4.0,8.0,Automatic,Black,Outra,At least 1 accident or damage reported,Yes,42770,43780,2022-10-17,2022-10-21,9.0
Outra,Versa 1.6 SL,2015,138030,Gasoline,109.0,1.6,4.0,CVT,white,Black,At least 1 accident or damage reported,Yes,7508,9326,2022-01-10,2022-01-11,9.3
Ford,Edge Sport,2011,212433,Gasoline,305.0,3.7,6.0,DCT,Black,Black,At least 1 accident or damage reported,Yes,10009,10282,2022-08-10,2022-08-13,2.3
Chevrolet,Silverado 2500 LT H/D Extended Cab,2006,271979,Diesel,360.0,6.6,8.0,Automatic,white,Outra,None reported,Yes,17745,19161,2023-01-06,2023-01-08,6.7
Chevrolet,Cruze LS,2011,218232,Gasoline,136.0,1.8,4.0,Automatic,Outra,Black,None reported,Yes,6370,5935,2022-08-30,2022-09-01,6.3
Outra,Wrangler Sahara,2011,88514,Gasoline,202.0,3.8,6.0,Automatic,Outra,Black,At least 1 accident or damage reported,Yes,31850,25780,2022-10-21,2022-10-23,7.7
Outra,2500 SLT,2018,109218,Gasoline,410.0,6.4,8.0,Automatic,white,Outra,None reported,Yes,33215,34445,2023-12-22,2023-12-25,2.7
Outra,Continental GT Base,2007,116140,Gasoline,552.0,6.0,12.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,32755,36753,2023-09-14,2023-09-15,2.0
Outra,Tundra SR,2018,82077,Gasoline,381.0,5.7,8.0,Automatic,Black,Outra,None reported,Yes,34580,37644,2022-09-20,2022-09-22,3.4
Outra,Genesis Coupe 3.8 Grand Touring,2013,96561,Gasoline,344.0,3.8,6.0,Automatic,white,Outra,None reported,Yes,15015,16664,2023-06-03,2023-06-05,5.4
Ford,Explorer Eddie Bauer,2010,232067,Gasoline,210.0,4.0,6.0,Automatic,Black,beige,None reported,Yes,9099,9273,2022-03-18,2022-03-21,5.9
Ford,Excursion Limited,2001,175993,Gasoline,310.0,6.8,10.0,Automatic,Outra,beige,None reported,Yes,11602,11653,2022-01-28,2022-02-01,8.3
Outra,Sky Base,2008,24172,Gasoline,173.0,2.4,4.0,Automatic,Outra,Outra,None reported,Yes,16835,15582,2023-05-19,2023-05-23,4.3
Outra,Sierra 1500 SLT,2021,37659,Gasoline,420.0,6.2,8.0,Automatic,Black,Black,None reported,Yes,47320,53604,2023-06-21,2023-06-22,7.7
Ford,F-250 Platinum,2022,10622,Gasoline,430.0,7.3,8.0,Automatic,Outra,Black,At least 1 accident or damage reported,Yes,66339,66433,2023-08-23,2023-08-24,7.3
Ford,Explorer XLT,2020,27359,Gasoline,300.0,2.3,4.0,Automatic,Outra,Black,At least 1 accident or damage reported,Yes,19110,26409,2023-10-04,2023-10-05,6.4
Outra,ILX Premium Package,2018,51917,Gasoline,201.0,2.4,4.0,Automatic,Black,Black,None reported,Yes,19109,20480,2023-07-05,2023-07-06,7.0
Outra,IS 300 Base,2018,25750,Gasoline,260.0,3.5,6.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,27755,29654,2022-01-13,2022-01-14,3.2
Outra,9-3 Aero,2009,170590,Gasoline,280.0,2.8,6.0,Automatic,Outra,Black,None reported,Yes,11784,11830,2023-04-15,2023-04-17,3.1
Mercedes-Benz,CLK-Class CLK 350,2009,125408,Gasoline,268.0,3.5,6.0,DCT,Outra,Black,None reported,Yes,15015,14002,2022-12-30,2022-12-31,4.4
Outra,Countryman Cooper S ALL4,2018,19908,Gasoline,189.0,2.0,4.0,Automatic,Outra,Black,None reported,Yes,26299,26984,2023-01-22,2023-01-23,9.3
Chevrolet,Corvette Base,2007,45889,Gasoline,400.0,6.0,8.0,DCT,Outra,Outra,None reported,Yes,29120,28279,2022-04-25,2022-04-26,7.5
Outra,2500 SLT,2014,135990,Gasoline,410.0,6.4,8.0,Automatic,Black,Outra,None reported,Yes,30940,29596,2023-11-28,2023-12-01,2.8
Mercedes-Benz,C-Class C 300 4MATIC Sport,2013,253319,Gasoline,248.0,3.5,6.0,Automatic,Black,Black,None reported,Yes,9782,10309,2023-12-04,2023-12-06,7.4
BMW,M550 i xDrive,2019,12199,Gasoline,456.0,4.4,8.0,DCT,Black,Black,None reported,Yes,46865,47172,2023-01-24,2023-01-25,4.3
Outra,S4 3.0 Prestige,2012,158359,Gasoline,333.0,3.0,6.0,Automatic,white,Outra,None reported,Yes,16380,17689,2023-04-17,2023-04-20,8.7
Outra,Sierra 1500 SLT,2016,136794,Gasoline,355.0,5.3,8.0,Automatic,white,Black,None reported,Yes,29802,28846,2023-08-13,2023-08-14,8.8
Outra,S5 3.0T Prestige,2013,60350,Gasoline,333.0,3.0,6.0,Automatic,Black,Black,None reported,Yes,23660,25017,2022-01-03,2022-01-05,4.3
Outra,S3 2.0T Premium Plus,2017,135185,Gasoline,292.0,2.0,4.0,Automatic,Outra,Black,None reported,Yes,28210,24905,2023-06-05,2023-06-08,3.3
Outra,Tundra 1794,2020,108470,Gasoline,381.0,5.7,8.0,Automatic,Black,Outra,None reported,Yes,43225,42485,2022-11-04,2022-11-05,1.6
Outra,G37 Sport,2008,102187,Gasoline,330.0,3.7,6.0,Manual,Black,Black,None reported,Yes,13650,15836,2023-09-10,2023-09-13,7.3
Outra,Jetta GLI,2014,160128,Gasoline,210.0,2.0,4.0,DCT,Black,Black,At least 1 accident or damage reported,Yes,13650,13459,2023-07-26,2023-07-30,6.8
Outra,Rover Range Rover 5.0L Supercharged,2016,102998,Gasoline,510.0,5.0,8.0,DCT,white,Outra,None reported,Yes,33665,35841,2023-10-28,2023-10-30,1.5
Chevrolet,Corvette Stingray w/2LT,2022,3235,Gasoline,490.0,6.2,8.0,DCT,Outra,Outra,None reported,Yes,80990,78570,2023-04-07,2023-04-08,5.2
Outra,Highlander Limited,2008,266379,Gasoline,270.0,3.5,6.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,8190,7922,2022-03-09,2022-03-11,7.8
Outra,A6 3.0T Prestige,2014,144036,Gasoline,310.0,3.0,6.0,DCT,Outra,Black,None reported,Yes,16380,17599,2022-07-12,2022-07-14,8.1
Mercedes-Benz,AMG C 43 AMG C 43 4MATIC,2019,53913,Gasoline,385.0,3.0,6.0,Automatic,Outra,Black,None reported,Yes,41651,42070,2022-12-20,2022-12-23,9.6
Ford,Mustang GT Premium,2014,59642,Gasoline,420.0,5.0,8.0,Manual,Black,Black,None reported,Yes,25935,28228,2023-09-12,2023-09-16,3.0
Ford,Mustang GT,2011,214854,Gasoline,412.0,5.0,8.0,Manual,Black,Black,None reported,Yes,21385,19332,2023-04-19,2023-04-21,1.8
Ford,Bronco Badlands,2021,52202,Gasoline,315.0,2.7,6.0,Automatic,Outra,Black,None reported,Yes,46410,46942,2022-03-17,2022-03-21,4.3
Outra,Odyssey EX-L,2007,273588,Gasoline,244.0,3.5,6.0,Automatic,Black,beige,None reported,Yes,7007,7040,2022-01-28,2022-01-30,9.2
Outra,Eclipse Spyder GS,2001,145485,Gasoline,140.0,2.4,4.0,Automatic,Outra,Outra,None reported,Yes,4090,5540,2023-11-05,2023-11-06,2.7
Outra,Genesis Coupe 2.0T,2010,104607,Gasoline,210.0,2.0,4.0,Automatic,Outra,Black,None reported,No,8099,9458,2022-08-08,2022-08-10,2.2
Ford,Transit-350 Base,2023,314,Gasoline,310.0,3.5,6.0,Automatic,Outra,Outra,None reported,Yes,79625,69531,2022-09-16,2022-09-20,7.7
BMW,M3 Base,2011,168981,Gasoline,414.0,4.0,8.0,Manual,Outra,Black,At least 1 accident or damage reported,Yes,19929,20533,2023-12-02,2023-12-06,8.4
Mercedes-Benz,GL-Class GL 550 4MATIC,2016,74194,Gasoline,429.0,4.7,8.0,Automatic,Black,beige,None reported,Yes,32123,33999,2023-03-03,2023-03-06,2.0
Mercedes-Benz,CLA-Class CLA 250,2014,134082,Gasoline,208.0,2.0,4.0,Automatic,white,Outra,None reported,Yes,13650,13689,2023-12-15,2023-12-19,3.5
Outra,Rover Range Rover Sport SE MHEV,2021,24140,Hybrid,355.0,3.0,6.0,Automatic,Black,Black,None reported,Yes,62790,61411,2023-10-15,2023-10-18,7.2
Outra,GT-R Premium,2010,25106,Gasoline,485.0,3.8,6.0,DCT,white,Black,None reported,Yes,63245,60853,2023-08-25,2023-08-27,9.0
Chevrolet,Silverado 1500 LT,2019,85992,Gasoline,355.0,5.3,8.0,Automatic,Outra,Outra,None reported,Yes,33624,34137,2022-02-20,2022-02-24,2.6
Outra,Gladiator Willys,2022,13518,Gasoline,285.0,3.6,6.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,42770,42817,2023-05-19,2023-05-20,8.8
Outra,Challenger SRT8,2010,112654,Gasoline,425.0,6.1,8.0,Manual,Outra,Black,None reported,Yes,20020,21352,2022-02-20,2022-02-24,5.2
Chevrolet,Suburban Premier,2019,72099,Gasoline,420.0,6.2,8.0,Automatic,Black,Black,None reported,Yes,47775,45953,2022-03-05,2022-03-06,2.8
Ford,F-150 Limited,2019,68764,Gasoline,450.0,3.5,6.0,DCT,Black,Outra,None reported,Yes,41814,44110,2022-08-03,2022-08-06,2.2
Outra,XTS Luxury,2016,180247,Gasoline,304.0,3.6,6.0,Automatic,Outra,beige,At least 1 accident or damage reported,Yes,13285,16163,2023-02-05,2023-02-07,7.0
Outra,911 Carrera Cabriolet,2001,77063,Gasoline,300.0,3.4,6.0,Manual,Outra,Black,None reported,No,29115,25226,2023-07-08,2023-07-10,3.9
Chevrolet,Corvette Stingray Z51,2019,11319,Gasoline,460.0,6.2,8.0,Automatic,white,Black,None reported,Yes,58149,53835,2023-10-23,2023-10-24,2.7
BMW,M340 i xDrive,2021,56274,Hybrid,382.0,3.0,6.0,Automatic,Outra,beige,At least 1 accident or damage reported,Yes,45499,46160,2023-02-14,2023-02-15,6.4
Outra,Caliber Express,2010,165249,Gasoline,158.0,2.0,4.0,Manual,Outra,Black,None reported,Yes,5460,6290,2023-09-06,2023-09-10,5.5
Outra,Romeo Giulia Ti,2019,34440,Gasoline,280.0,2.0,4.0,Automatic,white,Black,None reported,Yes,25935,28101,2023-02-11,2023-02-14,9.6
Outra,911 Carrera S,2013,83757,Gasoline,400.0,3.8,6.0,Manual,white,Outra,None reported,Yes,69615,63066,2023-07-12,2023-07-14,6.1
BMW,X5 PHEV xDrive45e,2023,4987,Plug-In Hybrid,389.0,3.0,6.0,Automatic,Black,Black,None reported,Yes,68245,68728,2022-08-06,2022-08-10,8.4
Chevrolet,Camaro 1SS,2022,11265,Gasoline,455.0,6.2,8.0,Manual,Outra,Black,None reported,Yes,45500,45003,2023-04-18,2023-04-19,6.7
Outra,BRZ Limited,2022,22531,Gasoline,228.0,2.4,4.0,Manual,white,Black,None reported,Yes,31849,31421,2022-04-03,2022-04-06,5.1
BMW,750 i xDrive,2019,67441,Gasoline,445.0,4.4,8.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,41859,41693,2022-03-11,2022-03-13,3.4
Outra,Boxster Base,2005,120701,Gasoline,240.0,2.7,6.0,Manual,Outra,Black,None reported,No,15925,17498,2023-01-30,2023-02-01,3.2
BMW,640 i,2016,64503,Gasoline,315.0,3.0,6.0,Automatic,Black,Black,None reported,Yes,25934,29151,2022-02-26,2022-02-27,6.6
Chevrolet,Camaro 2SS,2017,21670,Gasoline,455.0,6.2,8.0,Automatic,white,Black,None reported,Yes,40859,43238,2023-11-09,2023-11-11,9.3
Outra,1500 Sport,2012,182661,Gasoline,390.0,5.7,8.0,Automatic,Black,Black,None reported,Yes,16289,15135,2023-07-29,2023-07-31,5.5
Ford,Focus SE,2018,54235,E85 Flex Fuel,160.0,2.0,4.0,Automatic,Outra,Black,At least 1 accident or damage reported,Yes,10920,14358,2023-01-18,2023-01-21,6.1
Ford,F-250 King Ranch,2020,58741,Diesel,475.0,6.7,8.0,Automatic,Outra,Outra,None reported,Yes,63609,62601,2023-05-26,2023-05-27,9.3
Outra,TT RS 2.5T,2018,33273,Gasoline,400.0,2.5,5.0,DCT,Outra,Outra,None reported,Yes,69160,60404,2022-11-16,2022-11-19,9.7
Outra,Macan Base,2018,140818,Gasoline,252.0,2.0,4.0,DCT,Outra,beige,None reported,Yes,25480,25812,2023-10-13,2023-10-17,1.2
Outra,Ghibli S Q4,2014,122310,Gasoline,404.0,3.0,6.0,Automatic,Black,Black,None reported,Yes,17290,20027,2022-08-23,2022-08-25,6.9
Outra,Passat 2.5 SE,2012,257286,Gasoline,170.0,2.5,5.0,Automatic,white,beige,At least 1 accident or damage reported,Yes,8872,8014,2022-07-07,2022-07-09,3.3
Outra,DTS Luxury,2007,209215,Gasoline,275.0,4.6,8.0,Automatic,Outra,beige,At least 1 accident or damage reported,Yes,3184,5671,2022-03-07,2022-03-09,9.6
Outra,Titan SV,2023,9978,Gasoline,400.0,5.6,8.0,Automatic,Black,Outra,None reported,Yes,43680,48909,2023-10-02,2023-10-06,2.2
Outra,RX 300 Base,2002,194731,Gasoline,220.0,3.0,6.0,Automatic,Outra,Black,None reported,Yes,5777,6959,2022-07-22,2022-07-23,1.1
Mercedes-Benz,E-Class E 350 4MATIC,2008,147899,Gasoline,268.0,3.5,6.0,Automatic,Black,Black,None reported,Yes,8099,9217,2022-07-27,2022-07-29,2.8
Outra,S2000 Base,2002,177833,Gasoline,240.0,2.0,4.0,Manual,Outra,Outra,None reported,Yes,24570,21600,2023-05-06,2023-05-07,9.0
Outra,ILX Premium Package,2019,60994,Gasoline,201.0,2.4,4.0,Automatic,white,Black,None reported,Yes,23660,23543,2023-10-15,2023-10-16,9.0
Outra,1500 Big Horn,2021,114212,Gasoline,395.0,5.7,8.0,Automatic,Black,Black,None reported,Yes,30940,34316,2023-05-21,2023-05-23,2.2
Outra,Sky Red Line,2008,151747,Gasoline,260.0,2.0,4.0,Automatic,white,Outra,None reported,Yes,13195,14273,2022-01-10,2022-01-14,2.4
Outra,XC90 Hybrid T8 Inscription,2020,71595,Plug-In Hybrid,400.0,2.0,4.0,Automatic,Outra,Outra,None reported,Yes,59150,55367,2023-11-19,2023-11-23,2.7
Outra,A3 2.0T Premium,2019,45401,Gasoline,184.0,2.0,4.0,DCT,Outra,Black,At least 1 accident or damage reported,Yes,25025,25081,2023-02-11,2023-02-12,7.1
Outra,Sequoia Limited,2017,107826,E85 Flex Fuel,381.0,5.7,8.0,Automatic,Outra,Outra,None reported,Yes,34579,36313,2022-11-08,2022-11-12,3.7
Outra,Highlander XLE,2018,98901,Gasoline,295.0,3.5,6.0,Automatic,Outra,Outra,None reported,Yes,28210,28137,2023-12-07,2023-12-08,9.3
Outra,Crosstrek 2.0i Limited,2018,120057,Gasoline,152.0,2.0,4.0,DCT,Outra,Black,None reported,Yes,21840,20480,2023-07-24,2023-07-26,8.7
Mercedes-Benz,SL-Class SL 550,2015,18104,Gasoline,429.0,4.7,8.0,Automatic,white,beige,None reported,Yes,49595,50886,2022-10-17,2022-10-18,1.3
Outra,Civic LX,2015,82559,Gasoline,143.0,1.8,4.0,Manual,Black,Black,None reported,Yes,15925,16818,2022-06-05,2022-06-06,7.3
Outra,Tundra Limited,2022,6371,Gasoline,389.0,3.4,6.0,Automatic,Outra,Outra,None reported,Yes,50050,52964,2023-04-03,2023-04-05,9.2
BMW,X5 xDrive35i,2018,77249,Gasoline,300.0,3.0,6.0,Automatic,Black,Black,None reported,Yes,29120,28834,2023-11-18,2023-11-22,8.1
Outra,Sierra 1500 SLE Crew Cab,2006,269565,Gasoline,295.0,5.3,8.0,Automatic,Outra,Black,None reported,Yes,13195,11930,2023-09-27,2023-09-29,4.0
Ford,F-250 Lariat,2017,205996,Diesel,440.0,6.7,8.0,Automatic,Outra,Black,None reported,Yes,45500,41651,2022-04-09,2022-04-10,4.8
Outra,Q5 40 Premium,2022,23416,Hybrid,201.0,2.0,4.0,Automatic,Outra,Outra,None reported,Yes,37765,35986,2023-01-26,2023-01-27,1.3
Outra,G70 2.0T,2023,3413,Gasoline,252.0,2.0,4.0,Automatic,white,Outra,None reported,Yes,37082,39544,2023-01-15,2023-01-17,7.8
Outra,WRX Base,2015,164153,Gasoline,268.0,2.0,4.0,Manual,white,Black,At least 1 accident or damage reported,Yes,16380,16622,2022-01-02,2022-01-06,7.7
Outra,ES 350 Base,2008,234964,Gasoline,272.0,3.5,6.0,Automatic,Outra,beige,None reported,Yes,8185,7734,2022-12-16,2022-12-19,1.3
Outra,Q8 3.0T Prestige,2019,88353,Hybrid,335.0,3.0,6.0,Automatic,Outra,Black,At least 1 accident or damage reported,Yes,44135,41795,2022-12-08,2022-12-12,6.4
Outra,Rover Range Rover Velar P250 SE R-Dynamic,2018,105702,Gasoline,247.0,2.0,4.0,Automatic,Outra,Black,At least 1 accident or damage reported,Yes,31759,29537,2023-12-03,2023-12-04,4.8
Outra,300 S,2012,85295,Gasoline,292.0,3.6,6.0,DCT,Black,Black,At least 1 accident or damage reported,Yes,12512,17253,2022-07-28,2022-07-31,6.7
Outra,Nautilus Reserve,2021,31704,Gasoline,335.0,2.7,6.0,Automatic,white,beige,None reported,Yes,43680,46792,2023-07-19,2023-07-22,4.1
Outra,Cayman S,2014,53250,Gasoline,325.0,3.4,6.0,Automatic,Black,Black,None reported,Yes,45272,45329,2023-08-06,2023-08-07,8.4
Outra,Grand Cherokee Laredo,2013,171717,E85 Flex Fuel,290.0,3.6,6.0,Automatic,Black,Black,None reported,Yes,12285,11941,2022-10-26,2022-10-28,2.6
Outra,MDX Sport,2007,295242,Gasoline,300.0,3.7,6.0,Automatic,white,beige,At least 1 accident or damage reported,Yes,7007,7384,2022-08-21,2022-08-25,8.1
Outra,H3 Base,2007,247343,Gasoline,242.0,3.7,5.0,Automatic,Outra,Black,None reported,Yes,9095,8823,2023-11-11,2023-11-13,4.4
Mercedes-Benz,GLS 450 Base 4MATIC,2017,74191,Gasoline,362.0,3.0,6.0,Automatic,Black,beige,At least 1 accident or damage reported,Yes,30030,30633,2022-09-10,2022-09-13,5.8
Outra,Rogue Sport S,2021,38624,Gasoline,141.0,2.0,4.0,Automatic,Outra,Black,None reported,Yes,23205,23612,2022-12-23,2022-12-25,1.5
Outra,A3 2.0T Tech Premium,2018,63730,Gasoline,220.0,2.0,4.0,DCT,white,Black,None reported,Yes,24569,24490,2023-11-04,2023-11-05,3.6
Mercedes-Benz,AMG E 53 Base 4MATIC,2022,20921,Hybrid,429.0,3.0,6.0,Automatic,Outra,Black,None reported,Yes,74165,68188,2022-04-13,2022-04-16,2.2
Outra,Tundra SR5,2021,53841,Gasoline,381.0,5.7,8.0,Automatic,Outra,Black,None reported,Yes,40722,44898,2022-10-14,2022-10-17,6.1
Ford,Transit-350 XLT,2021,77249,E85 Flex Fuel,275.0,3.5,6.0,Automatic,white,Outra,None reported,Yes,51870,45342,2023-09-07,2023-09-09,9.6
Outra,allroad 2.7T,2005,246230,Gasoline,250.0,2.7,6.0,Manual,Outra,Outra,At least 1 accident or damage reported,Yes,5915,7238,2023-02-11,2023-02-12,6.2
BMW,X2 xDrive28i,2018,107327,Gasoline,228.0,2.0,4.0,DCT,Outra,Black,At least 1 accident or damage reported,Yes,22659,22089,2022-04-01,2022-04-04,7.4
Ford,Explorer XLT,2013,239792,Gasoline,290.0,3.5,6.0,Automatic,Outra,beige,At least 1 accident or damage reported,Yes,7144,9159,2023-12-19,2023-12-21,6.0
Outra,500 Lounge,2013,137531,Gasoline,101.0,1.4,4.0,Automatic,white,beige,None reported,Yes,8190,9129,2022-02-20,2022-02-23,1.9
Mercedes-Benz,SL-Class SL 63 AMG,2011,76283,Gasoline,518.0,6.3,8.0,Automatic,white,Black,At least 1 accident or damage reported,Yes,37310,40266,2022-12-25,2022-12-26,6.0
Outra,Optima LX,2011,161467,Gasoline,200.0,2.4,4.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,6279,7917,2023-11-06,2023-11-07,9.4
Outra,RX 330 Base,2006,177430,Gasoline,230.0,3.3,6.0,Automatic,white,beige,None reported,Yes,10010,9404,2022-01-23,2022-01-26,4.3
BMW,X6 xDrive35i,2009,148073,Gasoline,300.0,3.0,6.0,Automatic,white,Black,None reported,Yes,11375,11468,2023-06-24,2023-06-28,6.4
Outra,RS Q8 4.0T,2020,67361,Gasoline,591.0,4.0,8.0,DCT,Outra,Black,None reported,Yes,83265,73772,2022-03-27,2022-03-28,4.2
Outra,Rover Range Rover HSE SWB,2020,25750,Hybrid,395.0,3.0,6.0,Automatic,Outra,Black,None reported,Yes,68705,67005,2022-12-11,2022-12-15,6.6
Outra,A5 2.0T Premium Plus,2012,123919,Gasoline,211.0,2.0,4.0,Automatic,white,Black,None reported,Yes,12558,12515,2023-12-16,2023-12-18,3.0
Outra,Wrangler Unlimited Sport,2018,94147,Gasoline,285.0,3.6,6.0,Automatic,Black,Black,None reported,Yes,31850,31002,2023-01-12,2023-01-13,1.6
BMW,X7 xDrive40i,2020,72808,Gasoline,335.0,3.0,6.0,Automatic,Outra,Outra,None reported,Yes,49595,49642,2022-05-13,2022-05-15,6.1
Ford,Transit Connect XLT,2012,226032,Gasoline,136.0,2.0,4.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,7735,6844,2022-07-20,2022-07-23,1.3
Mercedes-Benz,GLC 300 Base,2020,68746,Gasoline,255.0,2.0,4.0,Automatic,Outra,beige,None reported,Yes,30485,33284,2022-01-05,2022-01-07,9.3
Outra,Pathfinder S,2014,217261,Gasoline,260.0,3.5,6.0,Automatic,white,Outra,None reported,Yes,7735,9593,2022-09-08,2022-09-09,4.9
BMW,M550 i xDrive,2018,24129,Gasoline,456.0,4.4,8.0,Automatic,Outra,Black,None reported,Yes,40859,43947,2023-07-09,2023-07-10,2.2
BMW,Z4 sDrive28i,2015,92618,Gasoline,240.0,2.0,4.0,Manual,Black,Outra,None reported,Yes,27295,25256,2022-10-07,2022-10-09,3.7
Outra,A7 Premium,2012,86905,Gasoline,310.0,3.0,6.0,Automatic,Black,Outra,At least 1 accident or damage reported,Yes,33561,31766,2023-09-14,2023-09-17,3.6
Outra,H3 Base,2006,189903,Gasoline,220.0,3.5,5.0,Automatic,Outra,Black,None reported,Yes,16289,12555,2023-09-19,2023-09-20,2.0
Outra,Avalon Limited,2006,144820,Gasoline,268.0,3.5,6.0,Automatic,Outra,beige,None reported,Yes,8644,9088,2023-10-30,2023-10-31,5.5
BMW,Z4 2.5i,2004,152083,Gasoline,184.0,2.5,6.0,Manual,Outra,Black,None reported,Yes,8190,9496,2022-02-25,2022-02-26,5.1
Outra,TLX A-Spec,2020,52304,Gasoline,206.0,2.4,4.0,Automatic,white,Outra,None reported,Yes,29120,29204,2022-02-25,2022-02-28,5.7
Outra,Corolla LE,2010,116433,Gasoline,132.0,1.8,4.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,9095,8436,2023-08-20,2023-08-23,9.2
Ford,F-250 XLT,2016,151761,E85 Flex Fuel,385.0,6.2,8.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,26389,28262,2023-10-30,2023-11-02,9.0
Outra,Wrangler Sahara,2013,180005,Gasoline,285.0,3.6,6.0,Automatic,Outra,Black,At least 1 accident or damage reported,Yes,24115,20616,2022-04-12,2022-04-16,5.6
